86-21-251	"* Photograph of Jack Dempsey with unidentified machine tool operator taken in machine shop. Size 203 mm by 254 mm (8.0 in. by .10.0 in.). Reverse side upper right hand corner is marked: ""Uli."" Same center stamp as 86-21 -250. Date of this item and 86-21-250 presumed to be the same however this is currently unknown ."
86-21-228	"* Catalog of autographs publication, ""The Flying Quill"" issue of October 1950 published by Goodspeeds Book Store, 16 Beacon Street, Boston 8 Massachusetts. Four pages, size 229 mm by 305 mm (9.0 in. by 12.0 in.) folded."
86-21-406	"* Upper photograph of man at microphone with three musicians all on a bandstand with photo caption: ""Mr Mr. . Sloman at Mlke."" Size 95 mm by 152 mm (3.75 in. by 6.0 in.)"
86-21-418	"* Gay 90ties . "" Upper left photograph with caption: ""Mildred Holly at in.) Size 83 mm by 159 mm (3.25 by 6.25 * Lower right photograph on same y ""Louie Giminarda models Fascinator."" same page as -418 with"
86-21-237	"* Handwritten letter mounted on backing sheet. Salutat i on: ""Dear sir""; Signature: ""Horace Greely."" Dated April 15, 1860 . Testimonial to the accuracy of American made watches. Letter size 127 mm by 146 mm (5.0 in. by 5.75 in.) Mount size 152 mm by 222 mm (6.0 in. by 8.75 in.)"
86-21-397	"capt1 on: (3.88 in. page. Picture * Lower photograph on ""ENTERTAINMENT.... ""Ray Smith singing coswboy songs."" Size 99 mm by 114 mm L-by 4.5 in.) •> on page with page caption:"
86-21-447	"* Upper photograph of three showing 19 men (5 sitting, 14 standing) with caption: ""Hand Milling Department."" Size 76 mm by 146 mm (3.0 in. by 5.75 in.)"
86-21-280	"* Three-part hinged photograph showing factory and Nichols residence. A fence appears behind factory building that is not present in -278 or -279. Mounted on the lower third of page 59 of album. Unfolded size 102 mm by 457 mm (4.0 in. by 18.0 in.)'"
86-21-383	"* Lower photograph on same page as 86-21-382. by 133 mm (2.75 in. by 5.25 In.)"
86-21-367	"* Black and white photograph of power boat on shore. Size 89 mm by 89 mm (3.5 in. by 3.5 in.) Label with caption: Navy motor boat used by Waltham Sea Scouts for a few years."" and photograph stored. ""Old Label"
86-21-304	"* Letter from WHN to Robert E. appreciation for E-Award. Dated November mm by 229 mm (6.0 in. by 9.8 in.) . Patterson expressing 7, 1942. Item size 152"
086-21-334	"* Letter from Roger Johnson, Hobby House in Hockanum, South Hadley, Massachusetts to WHN. Personal, hand written in green Ink on letterhead stationery, dated November 24, 1942 and signed. Size 171 mm by 248 mm (6.75 in. by 9.75 in.)"
86-21-252	"* Photograph of Hart Nichols and five men of the WHN bowling team at entrance to 48 Woerd Avenue. Men are Identified Supplement No. 1. Size 203 mm by 254 mm (8.0 in. by 10.0 in.). Reverse side notes: ""The Gerotor 5 League Leaders""/ ""54% page 26."
86-21-387	"* Lower photograph on same page as 86-21-386. Caption below photograph: ""BUTCH, A FEW GROCERIES, THE $1800.00 HAM, AND I.ODi':."" .'Ht.- ft1) mm by 152 mm (3.5 in. Ly in.)"
86-21-409	"* Lower photograph on the same page as -408 with the caption: ""Pie Auction for the 4th Bond Drive. "" Size 95 mm by 114 mm (3.75 in. by 4.5 in.)"
86-21-243	"* Listings of names entitled: ""Waltham men who served in the revolutionary war taken from the archives of the State of Massachusetts."" Consists of two parts: A four page list of the names of the men in alphabetical order (page 1 missing); a 46 page listing of the details of service for each individual, The missing page 1 can be restored by reference to the detailed second list. At the end of the listing the following information is given. ""Compiled by Martha Velie Friebe, 4 Riverview Ave., Waltham. Typewritten on onion skin paper 216 mm by 279 mm (8.5 in. by 11.0 in.) in blue paper covers tied along the 11 inch edge with string. * Listings of names entitled: ""Waltham men who served in the revolutionary war taken from the archives of the State of Massachusetts."" Consists of two parts: A four page list of the names of the men in alphabetical order (page 1 missing); a 46 page listing of the details of service for each individual, The missing page 1 can be restored by reference to the detailed second list. At the end of the listing the following Information is given. ""Compiled by Martha Velie Friebe, 4 Riverview Ave.,Ave., Waltham. Typewritten on onion skin paper 216 mm by 279 mm (8.5 in. by 11.0 in.) in blue paper covers tied along the 1.1 inch edge with string."
86-21-408	"* Upper photograph showing two men in the foreground in front of a group of men, women, and musicians on a bandstand with the caption: ""Pete Auld receives the Purple Heart."" Size 102 mm by 159 mm (4.0 in. by 6.25 in.)"
86-21-419	"caption: (3.25 in. mm by 6.25 in.) Size 83 mm by 159 mm"
86-21-422	"* Lower left photograph on same page as -420 with tlon: ""Sally Thomas."" size 51 mm by 64 mm (2.0 in. by 2.5 capin.) mm"
86-21-416	"* Upper left photograph by 6.0 in. ) ""MASQUERADE IN THE ENGINEERING ROOM on page with page caption: caption: ""Bustle at ENGINEERING ROOM 'HUSTLE AND BUSTLE'."" her ' Picture in. by 5.0 in.) 76 drawing board."" Size Size 76 mm by 127 mm (3.0"
86-21-433	"* Portrait photograph with caption: 121 mm by 168 mm (4.75 in. by 6.62 in.) ""JACK MOSS."" Size"
86-21-238	"* File folder with this catalog number contains four related items originally consisting of a photographic double mat, folder-mount containing two color prints each 102 mm by 127 mm (4.0 in. by 5.0 in.), and an envelope fragment showing a postmark. Each Item is separately cataloged and stored. The four archival envelope?; ar stored in a folder with the number given above. ** 86-21-238A * Color on folder as Bertha. print originally in left hand mat identified **86-21-2388 * Color print originally on right hand mat and identified as Riley Brett. ** 86-21-238C * Double mount mat folder with ""Bertha"" and ""Merry Christmas"" below the left opening and "" Riley Brett"" and ""Happy New Year"" below the right opening. At the bottom of the mount is ""19 57 . "" Size open 171 mm by 241 mm (6.75 in. by 9.5 in.) ** 86-21-238D * Irregular scrap of envelope, in. by 1.5 in.) containing postmark: Dec. 8; Angeles 15; Calif. 38 mm by 38 mm (1.5 6:30 PM; 1956; Los"
86-21-104	"* Photograph of RAC in the Sir John Soame Museum in London. Identified by hand written notation on reverse side. Size: 152 mm by 203 mm (6.0 in. by 8.0 in.)"
86-21-455	"* Upper left photograph of two with caption: ""Elsie Smith of G.E. Benching Dept."" Size 89 mm by 127 mm (3.5 in. by 5.0 In. )"
86-21-300	"* Ticket to Second annual ball of the Waltham Canoe Club, Tuesday January 10, 188?. (Lat digit of year missing.) Rectangu- lar shape with scalloped edges, Circumscribed rectangle size 86 mm by 109 mm (3.4 in. by 4.3 in.) *** NOTE on Items 86-21-301 through 86-21-350 *** On November 2 5, 19 4 2 the firm of W.H. Nichols and Sons was awarde’d an Army-Navy E for excellence (E-Award). There was a formal award ceremony attended by government representatives, company members, employees, and a number individuals with whom the firm had business connections. Correspondence and other memorabilia pertinent to the ceremony were mounted in a f1ve-and-dime scrap book using library paste. The scrap book cover boards were deteriorating and the pages were yellowing and brittle. The Individual items were removed from the pages with remarkable success using a palette knife; only two items suffered any damage and this was minor. All items removed were individually cataloged and assigned the numbers 86-21-301 through 86-21-350. The scrap book covers and the yel- lowed pages were discarded. *** End of Note * * *"
86-21-431	"* upper photograph of two with caption: ""Men relax During Rest Period."" Size 89 mm by 114 mm (3.5 in. by 4.5 in.)."
86-21-303	"* Letter from Robert E. Patterson, Under Secretary of War, to the men and women of WHN company announcing the E-Award. Dated October 31, 1942. Typewritten and signed on letterhead stationery,size 152 mm by 229 mm (6.0 in. by 9.8 in.)"
86-21-109	"* Photograph of RAC in front view. Note on reverse: ""Raingo Raingo Astronomical Clock in P.M. Chamberlain collection."" Size 203 mm by 254 mm (8.0 in. by 10.0 in.)"
86-21-333	"* Letter from James w. McQulston of Waltham Bleaching and Dye Works to WHN on E-Award, dated November 27, 1942. Typewritten and signed on 216 mm by 279 mm (8.5 in. by 11.0 in.) letterhead."
