catalog #	has title	has description
086-21-334		✓
80-21-317	✓	
80-21-318	✓	
80-21-319	✓	
82-21-550	✓	
82-21-551	✓	
82-21-552	✓	
82-21-553	✓	
82-21-554	✓	
82-21-555	✓	
82-21-558	✓	
82-21-559	✓	
82-21-560	✓	
82-21-561	✓	
82-21-562	✓	
82-21-563	✓	
82-21-564	✓	
82-21-565	✓	
82-21-566	✓	
82-21-567	✓	
82-21-568	✓	
82-21-569	✓	
82-21-570	✓	
82-21-588	✓	
82-21-589	✓	
85-21-243		✓
86-21-10		✓
86-21-101	✓	
86-21-102	✓	✓
86-21-103	✓	✓
86-21-104	✓	✓
86-21-105	✓	✓
86-21-106	✓	✓
86-21-107	✓	✓
86-21-108	✓	
86-21-109	✓	✓
86-21-110	✓	✓
86-21-111	✓	✓
86-21-112	✓	✓
86-21-113		✓
86-21-114	✓	✓
86-21-115	✓	✓
86-21-116	✓	✓
86-21-117	✓	✓
86-21-118	✓	✓
86-21-119	✓	✓
86-21-120	✓	✓
86-21-121	✓	
86-21-122	✓	✓
86-21-123		✓
86-21-124	✓	
86-21-125		✓
86-21-127		✓
86-21-129	✓	
86-21-131	✓	
86-21-132	✓	
86-21-133	✓	
86-21-134	✓	
86-21-135	✓	
86-21-136	✓	
86-21-137	✓	
86-21-138	✓	
86-21-139	✓	
86-21-140	✓	
86-21-141	✓	
86-21-143	✓	
86-21-144	✓	
86-21-145	✓	
86-21-146	✓	
86-21-147	✓	
86-21-148	✓	
86-21-149	✓	
86-21-150	✓	
86-21-152	✓	
86-21-153	✓	
86-21-154	✓	
86-21-155	✓	
86-21-156	✓	
86-21-157	✓	
86-21-158	✓	
86-21-159	✓	
86-21-160	✓	
86-21-161	✓	
86-21-162	✓	
86-21-163	✓	
86-21-164	✓	
86-21-165	✓	
86-21-166	✓	
86-21-167	✓	
86-21-168	✓	
86-21-169	✓	
86-21-170	✓	
86-21-171	✓	
86-21-172	✓	
86-21-173	✓	
86-21-175	✓	
86-21-176	✓	
86-21-177	✓	
86-21-200		✓
86-21-201		✓
86-21-202	✓	✓
86-21-203	✓	✓
86-21-204		✓
86-21-205	✓	✓
86-21-206	✓	✓
86-21-207	✓	✓
86-21-208	✓	✓
86-21-209	✓	✓
86-21-210	✓	✓
86-21-211	✓	✓
86-21-212	✓	✓
86-21-213	✓	✓
86-21-214		✓
86-21-215	✓	✓
86-21-216	✓	✓
86-21-217	✓	✓
86-21-218	✓	✓
86-21-219	✓	✓
86-21-220	✓	✓
86-21-221	✓	✓
86-21-222	✓	✓
86-21-223	✓	✓
86-21-224	✓	✓
86-21-225		✓
86-21-226		✓
86-21-227		✓
86-21-228	✓	✓
86-21-229	✓	✓
86-21-230	✓	✓
86-21-231	✓	✓
86-21-232	✓	✓
86-21-233	✓	✓
86-21-234	✓	✓
86-21-235	✓	✓
86-21-236		✓
86-21-237		✓
86-21-238		✓
86-21-239	✓	✓
86-21-240	✓	✓
86-21-241	✓	✓
86-21-242	✓	✓
86-21-243		✓
86-21-244	✓	✓
86-21-245	✓	✓
86-21-246	✓	✓
86-21-247	✓	✓
86-21-248	✓	✓
86-21-249	✓	✓
86-21-250	✓	✓
86-21-251	✓	✓
86-21-252	✓	✓
86-21-253	✓	✓
86-21-254	✓	✓
86-21-255		✓
86-21-256	✓	✓
86-21-257		✓
86-21-258	✓	✓
86-21-259	✓	✓
86-21-260	✓	✓
86-21-261	✓	✓
86-21-262	✓	✓
86-21-263	✓	✓
86-21-264	✓	
86-21-265	✓	✓
86-21-266	✓	✓
86-21-267	✓	✓
86-21-268	✓	✓
86-21-269	✓	
86-21-270	✓	✓
86-21-271		✓
86-21-272	✓	✓
86-21-273		✓
86-21-274	✓	✓
86-21-275	✓	✓
86-21-276		✓
86-21-277	✓	✓
86-21-278		✓
86-21-280		✓
86-21-281		✓
86-21-282		✓
86-21-283		✓
86-21-284	✓	✓
86-21-285	✓	✓
86-21-286	✓	✓
86-21-287	✓	✓
86-21-288	✓	✓
86-21-289	✓	✓
86-21-290		✓
86-21-291	✓	✓
86-21-292	✓	✓
86-21-293	✓	✓
86-21-294	✓	✓
86-21-295	✓	✓
86-21-296	✓	✓
86-21-297	✓	✓
86-21-298	✓	✓
86-21-299	✓	
86-21-300	✓	✓
86-21-301	✓	✓
86-21-302	✓	✓
86-21-303	✓	✓
86-21-304	✓	✓
86-21-305	✓	✓
86-21-306	✓	✓
86-21-307	✓	✓
86-21-308	✓	✓
86-21-309	✓	✓
86-21-310	✓	✓
86-21-311	✓	✓
86-21-312	✓	
86-21-313	✓	✓
86-21-314	✓	✓
86-21-315		✓
86-21-316	✓	✓
86-21-317		✓
86-21-318		✓
86-21-319		✓
86-21-320	✓	✓
86-21-321	✓	✓
86-21-322	✓	✓
86-21-323	✓	✓
86-21-324	✓	✓
86-21-325	✓	✓
86-21-326	✓	✓
86-21-327	✓	✓
86-21-328	✓	✓
86-21-329	✓	✓
86-21-330	✓	✓
86-21-331	✓	
86-21-332	✓	✓
86-21-333	✓	✓
86-21-335	✓	✓
86-21-336	✓	✓
86-21-337		✓
86-21-338	✓	
86-21-339	✓	✓
86-21-340	✓	✓
86-21-341	✓	✓
86-21-342	✓	✓
86-21-343	✓	✓
86-21-344	✓	✓
86-21-345		✓
86-21-346	✓	✓
